,cell_name,w1,w2,change_voltage,date,temp,cell_tag,rul,cluster,charge_time
0,0131-2_6,15.0,8.0,4.0,0131,-10,0131(-10),1,2,1010
1,0131-2_7,15.0,8.0,4.1,0131,-10,0131(-10),1,,1186
2,0131-2_8,15.0,7.0,4.1,0131,-10,0131(-10),1,,897
3,0131-3_2,15.0,7.0,4.1,0131,-10,0131(-10),1,,1141
4,0131-3_3,15.0,5.5,4.1,0131,-10,0131(-10),1,,1862
5,0131-3_4,15.0,5.5,4.1,0131,-10,0131(-10),1,,1101
6,0131-3_5,15.0,5.5,4.2,0131,-10,0131(-10),1,,1458
7,0131-3_6,9.5,,,0131,-10,0131(-10),1,,1091
8,0201-1_1,16.8,11.5,3.9,0201,10,0201(10),1,,1307
9,0201-1_2,17.0,11.5,3.9,0201,10,0201(10),1,,1338
10,0201-1_3,16.7,11.5,3.9,0201,10,0201(10),1,,1291
11,0201-1_4,16.5,10.5,3.9,0201,10,0201(10),1,,1547
12,0201-1_5,16.5,10.5,3.9,0201,10,0201(10),1,,1544
13,0201-1_6,16.6,10.5,3.9,0201,10,0201(10),1,,1568
14,0201-1_7,16.5,10.0,3.9,0201,10,0201(10),1,,1642
15,0201-1_8,16.5,10.0,4.0,0201,10,0201(10),1,,1574
16,0201-2_1,16.5,10.0,4.0,0201,10,0201(10),1,,1582
17,0201-2_2,16.5,10.0,3.9,0201,10,0201(10),1,,1546
18,0201-2_3,16.6,10.0,4.0,0201,10,0201(10),1,,1448
19,0201-2_4,16.5,10.0,4.0,0201,10,0201(10),1,,1568
20,0201-2_6,16.5,10.5,4.0,0201,10,0201(10),1,,1442
21,0201-2_7,16.5,10.5,4.0,0201,10,0201(10),1,,1412
22,0201-2_8,16.5,10.0,4.1,0201,10,0201(10),1,,1388
23,0201-3_1,16.5,10.0,4.1,0201,10,0201(10),1,,1388
24,0201-3_2,16.5,10.0,4.1,0201,10,0201(10),1,,1370
25,0201-3_3,16.5,8.5,4.1,0201,10,0201(10),1,,1475
26,0201-3_4,16.5,8.5,4.2,0201,10,0201(10),1,,1492
27,0201-3_5,16.5,8.5,4.2,0201,10,0201(10),1,,1514
28,0201-3_6,13.3,,,0201,10,0201(10),1,,1319
29,0202-1_1,16.5,11.5,3.9,0202,25,0202(25),2,2,1657
30,0202-1_2,16.5,11.5,3.8,0202,25,0202(25),1,3,1637
31,0202-1_3,16.5,11.5,3.8,0202,25,0202(25),1,2,1623
32,0202-1_4,16.5,10.5,3.9,0202,25,0202(25),5,2,1746
33,0202-1_5,16.5,10.5,3.9,0202,25,0202(25),1,2,1722
34,0202-1_6,16.5,10.5,3.9,0202,25,0202(25),3,1,1747
35,0202-1_7,16.5,10.0,3.9,0202,25,0202(25),9,6,1766
36,0202-1_8,16.5,10.0,4.0,0202,25,0202(25),1,1,1667
37,0202-2_1,16.5,10.0,4.0,0202,25,0202(25),4,1,1755
38,0202-2_2,16.5,10.0,4.0,0202,25,0202(25),3,3,1686
39,0202-2_3,16.5,10.0,4.0,0202,25,0202(25),7,4,1669
40,0202-2_4,16.5,10.0,4.0,0202,25,0202(25),4,7,1704
41,0202-2_6,16.5,10.5,4.0,0202,25,0202(25),32,6,1593
42,0202-2_7,16.5,10.5,4.0,0202,25,0202(25),51,3,1603
43,0202-2_8,16.5,10.0,4.1,0202,25,0202(25),42,1,1590
44,0202-3_1,16.5,10.0,4.1,0202,25,0202(25),54,1,1577
45,0202-3_2,16.5,10.0,4.1,0202,25,0202(25),57,3,1578
46,0202-3_3,16.5,8.5,4.1,0202,25,0202(25),80,3,1605
47,0202-3_4,16.5,8.5,4.1,0202,25,0202(25),110,0,1672
48,0202-3_5,16.5,8.5,4.2,0202,25,0202(25),68,0,1682
49,0202-3_6,13.3,,,0202,25,0202(25),27,1,1573
50,0829-4_1,16.5,12.5,3.8,0829,30,0829(30),244,,1564
51,0829-4_2,16.5,12.5,3.9,0829,30,0829(30),92,,1549
52,0829-4_3,16.5,12.5,3.8,0829,30,0829(30),87,,1595
53,0829-4_4,16.5,11.0,3.9,0829,30,0829(30),96,,1703
54,0829-4_5,16.5,11.0,3.9,0829,30,0829(30),102,,1763
55,0829-4_6,16.5,11.0,3.9,0829,30,0829(30),79,,1728
56,0829-4_7,16.5,9.5,4.0,0829,30,0829(30),363,,1932
57,0829-4_8,16.5,9.5,4.0,0829,30,0829(30),95,,1927
58,0829-5_1,16.5,9.5,3.9,0829,30,0829(30),694,,1935
59,0829-5_2,16.5,8.0,4.0,0829,30,0829(30),166,,2056
60,0829-5_3,16.5,8.0,4.0,0829,30,0829(30),637,,2061
61,0829-5_4,16.5,8.0,4.0,0829,30,0829(30),339,,2144
62,0829-5_5,16.5,6.5,4.0,0829,30,0829(30),174,,2381
63,0829-5_6,16.5,6.5,4.0,0829,30,0829(30),241,,2398
64,0829-5_7,16.5,6.5,4.0,0829,30,0829(30),243,,2322
65,0829-5_8,16.5,5.0,4.1,0829,30,0829(30),480,,2741
66,0829-6_1,16.5,5.0,4.1,0829,30,0829(30),882,,2716
67,0829-6_2,16.5,5.0,4.1,0829,30,0829(30),685,,2729
68,0829-6_3,16.5,3.5,4.1,0829,30,0829(30),456,,3304
69,0829-6_4,16.5,3.5,4.1,0829,30,0829(30),375,,3473
70,0909-1_1,16.5,11.5,3.9,0909,70,0909(70),626,,1942
71,0909-1_2,16.5,11.5,3.8,0909,70,0909(70),850,7,1947
72,0909-1_3,16.5,11.5,3.9,0909,70,0909(70),608,0,1957
73,0909-1_4,16.5,10.5,3.9,0909,70,0909(70),433,,2075
74,0909-1_5,16.5,10.5,3.9,0909,70,0909(70),760,7,2085
75,0909-1_6,16.5,10.5,3.9,0909,70,0909(70),643,,2046
76,0909-1_7,16.5,10.0,4.0,0909,70,0909(70),719,0,2089
77,0909-2_1,16.5,10.0,3.9,0909,70,0909(70),423,,2088
78,0909-2_2,16.5,10.0,4.0,0909,70,0909(70),420,0,1995
79,0909-2_3,16.5,10.0,4.0,0909,70,0909(70),773,,2029
80,0909-2_4,16.5,10.0,4.0,0909,70,0909(70),445,,2032
81,0909-2_6,16.5,10.5,4.0,0909,70,0909(70),659,0,1884
82,0909-2_7,16.5,10.5,4.0,0909,70,0909(70),618,,1888
83,0909-3_1,16.5,10.0,4.1,0909,70,0909(70),426,5,1880
84,0909-3_2,16.5,10.0,4.1,0909,70,0909(70),445,,1886
85,0909-3_3,16.5,8.5,4.2,0909,70,0909(70),399,,1947
86,0909-3_4,16.5,8.5,4.2,0909,70,0909(70),471,7,1958
87,0909-3_5,16.5,8.5,4.2,0909,70,0909(70),407,,1945
88,0909-3_6,13.3,,,0909,70,0909(70),359,,1891
89,1013-4_1,16.5,11.5,3.8,1013,30,1013(30),251,3,1772
90,1013-4_2,16.5,11.5,3.8,1013,30,1013(30),133,1,1784
91,1013-4_3,16.5,11.5,3.8,1013,30,1013(30),207,3,1770
92,1013-4_4,16.5,10.5,3.9,1013,30,1013(30),248,1,1800
93,1013-4_5,16.5,10.5,3.9,1013,30,1013(30),191,2,1774
94,1013-4_6,16.5,10.5,3.9,1013,30,1013(30),92,1,1803
95,1013-4_7,16.5,10.0,4.0,1013,30,1013(30),124,1,1823
96,1013-4_8,16.5,10.0,4.0,1013,30,1013(30),111,1,1829
97,1013-5_1,16.5,10.0,3.9,1013,30,1013(30),235,1,1797
98,1013-5_2,16.5,10.0,4.0,1013,30,1013(30),127,0,1762
99,1013-5_3,16.5,10.0,4.0,1013,30,1013(30),153,0,1709
100,1013-5_4,16.5,10.0,4.0,1013,30,1013(30),128,0,1722
101,1013-5_5,16.5,10.5,4.0,1013,30,1013(30),646,1,1625
102,1013-5_6,16.5,10.5,4.0,1013,30,1013(30),148,6,1643
103,1013-5_7,16.5,10.5,4.0,1013,30,1013(30),133,6,1649
104,1013-5_8,16.5,10.0,4.1,1013,30,1013(30),156,1,1638
105,1013-6_1,16.5,10.0,4.1,1013,30,1013(30),114,3,1606
106,1013-6_2,16.5,10.0,4.1,1013,30,1013(30),299,1,1635
107,1013-6_3,16.5,8.5,4.1,1013,30,1013(30),194,6,1718
108,1013-6_4,16.5,8.5,4.2,1013,30,1013(30),246,6,1756
