,cell_name,w1,w2,change_voltage,date,temp,cell_tag,rul,cluster,charge_time
89,1013-4_1,16.5,11.5,3.8,1013,30,1013(30),251,3,1772
90,1013-4_2,16.5,11.5,3.8,1013,30,1013(30),133,1,1784
91,1013-4_3,16.5,11.5,3.8,1013,30,1013(30),207,3,1770
92,1013-4_4,16.5,10.5,3.9,1013,30,1013(30),248,1,1800
93,1013-4_5,16.5,10.5,3.9,1013,30,1013(30),191,2,1774
94,1013-4_6,16.5,10.5,3.9,1013,30,1013(30),92,1,1803
95,1013-4_7,16.5,10.0,4.0,1013,30,1013(30),124,1,1823
96,1013-4_8,16.5,10.0,4.0,1013,30,1013(30),111,1,1829
97,1013-5_1,16.5,10.0,3.9,1013,30,1013(30),235,1,1797
98,1013-5_2,16.5,10.0,4.0,1013,30,1013(30),127,0,1762
99,1013-5_3,16.5,10.0,4.0,1013,30,1013(30),153,0,1709
100,1013-5_4,16.5,10.0,4.0,1013,30,1013(30),128,0,1722
101,1013-5_5,16.5,10.5,4.0,1013,30,1013(30),646,1,1625
102,1013-5_6,16.5,10.5,4.0,1013,30,1013(30),148,6,1643
103,1013-5_7,16.5,10.5,4.0,1013,30,1013(30),133,6,1649
104,1013-5_8,16.5,10.0,4.1,1013,30,1013(30),156,1,1638
105,1013-6_1,16.5,10.0,4.1,1013,30,1013(30),114,3,1606
106,1013-6_2,16.5,10.0,4.1,1013,30,1013(30),299,1,1635
107,1013-6_3,16.5,8.5,4.1,1013,30,1013(30),194,6,1718
108,1013-6_4,16.5,8.5,4.2,1013,30,1013(30),246,6,1756
109,1013-6_5,16.5,8.5,4.2,1013,30,1013(30),134,0,1728
